Korean,English
annyeonghaseyo,Hello
juseyo,Please
joesonghamnida,Sorry
gomapseumnida,Thank you
ne,Yes
aniyo,No
amado,Maybe
dowa juseyo,Help
jeogiyo,Excuse me
mul,Water
bap,Rice
yachae,Vegetables
gwail,Fruit
gogi,Meat
ppang,Bread
saengseon,Fish
keopi,Coffee
maekju,Beer
soju,Soju
chingu,Friend
gajok,Family
appa,Dad
eomma,Mom
namja chingu,Boyfriend
yeoja chingu,Girlfriend
gyeolhon,Marriage
nampyeon,Husband
anae,Wife
haksaeng,Student
seonsaeng,Teacher
gyosu,Professor
jigwon,Employee
gwanlija,Manager
jip,House
hwajangsil,Bathroom
nara,Country
jigeop,Job
saram,Person
oenjjok,Left
oreunjjok,Right
sigan,time
jigeum,now
oneul,today
eoje,yesterday
naeil,tomorrow
gada,to go
oda,to come
itda,to have
ida,to be
meokda,to eat
masida,to drink
juda,to give
jada,to sleep
ireonada,to wake up
sada,to buy
sseuda,to write or to use
utda,to laugh
ulda,to cry
geotda,to walk
iktta,to read
jota,to be good
silta,to be bad
deopda,to be hot
chupda,to be cold
seulpeuda,to be sad
apeuda,to be sick or in pain
pigonhada,to be tired
jaemiitda,to be interesting
jaemieopda,to be boring
eoryeopda,to be difficult
swipda,to be easy
kkaekkeuthada,to be clean
deoreopda,to be dirty
ppareuda,to be fast
neurida,to be slow
maeu,very
aju,very
kkwae,quite
sangdanghi,quite
geoui,almost
ppalli,fast
cheoncheonhi,slowly
hangsang,always
jaju,frequently
gakkeum,to be interesting
cheonmaneyo,You�re welcome
jamsimanyo,Excuse me
gwaenchanayo,Okay
mollayo,I don�t know
arayo,I know
ihaehaeyo,I understand
haneul,sky
bi,rain
goyangi,cat
gangaji,puppy
baram,wind
maeum,mind/heart
nara,nation
bada,ocean
nuri,world